kab,penerimaan,pengeluaran,jumlah_art
Bengkulu Tengah,36808678,65499142.86,4
Bengkulu Tengah,62400000,52682000,4
Bengkulu Tengah,29924297,7666285.714,4
Kota Bengkulu,59967000,58659214.29,7
Kaur,13312000,19850857.14,4
Kota Bengkulu,67900000,41553714.29,4
Kota Bengkulu,21635000,36011000,5
Bengkulu Tengah,11052029,19587171.43,2
Kota Bengkulu,37779000,42857428.57,5
Bengkulu Tengah,22026743,22391428.57,5
Kota Bengkulu,21900000,23392285.71,3
Bengkulu Tengah,79250000,45901714.29,4
Bengkulu Tengah,16520000,26584857.14,5
Kaur,14610000,21391571.43,2
Kota Bengkulu,35372258,51165857.14,4
Kaur,14688000,15619285.71,1
Bengkulu Tengah,23450000,23406142.86,4
Bengkulu Tengah,20033399,20138428.57,4
Bengkulu Tengah,41968333,72172000,4
Bengkulu Tengah,86100000,68992268.57,4
Bengkulu Tengah,66631428,64975142.86,4
Kaur,45930000,45336142.86,5
Bengkulu Tengah,28020000,27325571.43,4
Bengkulu Tengah,19200000,56854285.71,6
Bengkulu Tengah,59920000,53949857.14,2
Kota Bengkulu,10300000,51860285.71,4
Kaur,41100000,35914285.71,4
Kaur,22065000,28403571.43,2
Bengkulu Tengah,84200000,82267428.57,6
Kaur,35490000,24157142.86,8
Kota Bengkulu,57436836,70843907.43,4
Bengkulu Tengah,32300000,24203428.57,2
Bengkulu Tengah,30399765,29618142.86,4
Bengkulu Tengah,24762000,24161714.29,4
Bengkulu Tengah,42702857,39383714.29,5
Bengkulu Tengah,31824000,31335428.57,6
Bengkulu Tengah,47120000,57406571.43,2
Bengkulu Tengah,10088000,32143857.14,5
Kota Bengkulu,13114285,17509857.14,3
Kaur,34204359,37659000,3
Kota Bengkulu,35880000,42825714.29,2
Bengkulu Tengah,17164706,38423142.86,6
Bengkulu Tengah,4100000,29842857.14,5
Bengkulu Tengah,8980000,19286285.71,2
Bengkulu Tengah,28000000,74753714.29,4
Bengkulu Tengah,15161441,26857571.43,5
Bengkulu Tengah,19250000,19208142.86,3
Kaur,45120000,45059714.29,4
Bengkulu Tengah,12792000,12721000,4
Bengkulu Tengah,12820000,16855714.29,5
Bengkulu Tengah,58261500,67658142.86,3
Kaur,34368000,33916714.29,3
Kaur,83616666,19474000,6
Kaur,14620000,28867857.14,2
Kaur,25700000,22018571.43,4
Kota Bengkulu,14300000,17080714.29,3
Bengkulu Tengah,19630580,44588000,5
Bengkulu Tengah,41007585,19502142.86,5
Bengkulu Tengah,184650000,184611142.9,6
Kaur,54630000,63196000,3
Kota Bengkulu,62940000,70529714.29,5
Kaur,29065714,28680428.57,2
