pend_krt,jumlah_art,penerimaan,pengeluaran
1,2,11790000,17127714.29
1,2,18046116,26354285.71
1,2,36044285,34912428.57
1,2,18986499,37022571.43
1,2,7061482,28485714.29
1,2,12992000,36718714.29
1,2,76637091,47134571.43
1,2,76164986,57634428.57
1,2,26393272,44085285.71
1,2,62050000,33437142.86
1,2,70507716,35233571.43
1,2,26480624,19274857.14
1,2,8687378,16912000
1,2,74780165,58613142.86
1,2,48100000,34500000
1,2,86300000,67580571.43
1,2,18616872,26425714.29
1,2,68007000,46651428.57
1,2,31476450,25714285.71
1,2,30035000,24267000
1,2,8420000,13470714.29
1,2,49208500,42919000
1,2,63600000,26965714.29
1,2,14282964,39922285.71
1,2,16595000,70449857.14
1,2,23400000,31655142.86
1,2,26680000,31178697.14
1,2,26900000,25837285.71
1,2,38120000,37396571.43
1,2,6075378,20239571.43
1,2,15641494,47040000
1,2,35139000,70849142.86
1,2,51352030,27538857.14
1,2,17305714,21433000
1,2,33517627,26120571.43
1,2,14390500,36557714.29
1,2,131806190,84546523.14
1,2,61630228,39482857.14
1,2,67622857,62004857.14
1,2,44630000,43444571.43
1,2,35500000,22376142.86
1,2,32964718,29302857.14
1,2,32640000,22544857.14
1,2,349600000,145051714.3
1,2,49160000,7770285.714
1,2,23360000,38142857.14
1,2,18504000,12576142.86
1,2,56613000,86411000
1,2,72490000,72209942.86
1,2,21905000,26995714.29
1,2,19910668,14991714.29
1,2,66542000,57201554.29
1,2,48270000,52323142.86
1,2,47900000,80414285.71
1,2,8840000,22742857.14
1,2,44450000,46480642.86
1,2,68480000,56508857.14
1,2,9200712,21266428.57
1,2,39444000,22324571.43
1,2,122600000,74384000
1,2,47263000,51239857.14
1,2,49090000,46219428.57
1,2,39150000,29376285.71
1,2,25522935,35720571.43
1,2,137730000,102630428.6
1,2,28900000,39020000
1,2,54950000,54431428.57
1,2,37550000,54322714.29
1,2,16525000,36955285.71
1,2,35374000,37193000
1,2,3600000,19169285.71
1,2,49900000,36314285.71
1,2,60030000,49792142.86
1,2,34519000,32846285.71
1,2,16275000,19731428.57
1,2,63818572,24442000
1,2,37873334,23258135.71
1,2,26626000,34332114.29
1,2,24269068,42098000
1,2,27632000,38026571.43
1,2,63250000,34221714.29
1,2,10138960,38648571.43
1,2,61800000,38313714.29
1,2,23450000,44058857.14
1,2,16725000,30717285.71
1,2,88786000,33696285.71
1,2,17033000,25111177.14
1,2,35277142,45933571.43
1,2,78050000,81753171.43
1,2,42420000,31179285.71
1,2,55200000,18927714.29
1,2,18450000,38121857.14
1,2,40676000,45756000
1,2,59967000,58659214.29
1,2,21635000,36011000
1,2,37779000,42857428.57
1,2,22026743,22391428.57
1,2,16520000,26584857.14
1,2,45930000,45336142.86
1,2,19200000,56854285.71
1,2,84200000,82267428.57
1,2,35490000,24157142.86
1,2,42702857,39383714.29
1,2,31824000,31335428.57
1,2,10088000,32143857.14
1,2,17164706,38423142.86
1,2,4100000,29842857.14
1,2,15161441,26857571.43
1,2,12820000,16855714.29
1,2,83616666,19474000
1,2,19630580,44588000
1,2,41007585,19502142.86
1,2,184650000,184611142.9
1,2,62940000,70529714.29
1,2,31925000,48685571.43
1,2,39791000,36850857.14
1,2,45668571,45421436.57
1,2,25300000,76157142.86
1,2,32150000,34940000
1,2,88865800,56541857.14
1,2,13440294,49101714.29
1,2,23762572,24375714.29
1,2,36500000,36334571.43
1,2,36300000,37645714.29
1,2,114378000,112511428.6
1,2,40761336,49024857.14
1,2,53100000,24086857.14
1,2,28479600,28348571.43
1,2,45200000,44487714.29
1,2,42679779,57093285.71
1,2,258905000,80524714.29
1,2,31570000,34750571.43
1,2,33422000,61587571.43
1,2,29760000,119016428.6
1,2,16434000,25828714.29
1,2,8555741,24323000
1,2,47642856,60035017.14
1,2,27680919,46481428.57
1,2,4220741,26043571.43
1,2,23000000,22890714.29
1,2,44830228,44988285.71
1,2,31040000,43178857.14
1,2,99977557,95518428.57
1,2,51050000,50935714.29
1,2,16565000,20368285.71
1,2,18346428,48980142.86
1,2,34918046,27440714.29
1,2,164152000,84376714.29
1,2,50120000,103999428.6
1,2,13485000,30185142.86
1,2,37660000,40998000
1,2,32390000,56962857.14
1,2,17720000,29560571.43
1,2,32116000,31308571.43
1,2,40200000,52370000
1,2,106614000,102703428.6
1,2,27577143,25006285.71
1,2,82438000,72260285.71
1,2,36700000,36626428.57
1,2,10800000,38531571.43
1,2,60145000,59826285.71
1,2,34615114,52854000
1,2,64560000,64495285.71
1,2,76130000,61410714.29
1,2,52654857,52708142.86
1,2,103748000,87554160
1,2,57762000,55229785.71
1,2,21836081,30768571.43
1,2,12225000,23555428.57
1,2,80371428,44600428.57
1,2,46900000,43153285.71
1,2,24700000,17788857.14
1,2,25275000,25345714.29
1,2,26200000,28330000
1,2,55000000,41886285.71
1,2,28200000,27617142.86
1,2,36801471,36235185.71
1,2,51600000,34026428.57
1,2,47320000,42753428.57
1,2,37549999,49140571.43
1,2,11919000,17022000
1,2,35400000,38516857.14
1,2,13538371,19517142.86
1,2,59600000,48643245.71
1,2,88420000,48181285.71
1,2,9219440,19207428.57
1,2,26250000,28647285.71
1,2,57310000,48667428.57
1,2,66204287,72495428.57
1,2,148720000,145037428.6
1,2,83766858,26236000
1,2,22711000,48525411.43
1,2,20197000,28760000
1,2,41300000,40140000
1,2,89400000,93119428.57
1,2,48478500,55858714.29
1,2,9415000,64529428.57
1,2,55411800,44974085.71
1,2,104962857,77253714.29
1,2,51665000,24806000
1,2,155109000,149216571.4
1,2,10080000,24535285.71
1,2,23400000,21369000
1,2,8993779,51516125.71
1,2,9594286,7814000
1,2,9000000,27707700
1,2,28446509,40590857.14
1,2,19362247,39408571.43
1,2,65210000,79932142.86
1,2,88800000,89286428.57
1,2,8100000,20567428.57
1,2,83900000,57625142.86
1,2,50068000,64199142.86
1,2,38401532,20789714.29
1,2,166575714,53061571.43
1,2,31775000,33127714.29
2,1,38400000,40165714.29
2,1,14030000,35061357.14
2,1,13464286,24444571.43
2,1,17571500,18548357.14
2,1,41600000,40197000
2,1,30681160,36440571.43
2,1,12100000,11459285.71
2,1,64061511,19314285.71
2,1,12486000,12166857.14
2,1,59000000,83896857.14
2,1,6984000,35532428.57
2,1,9120000,19002000
2,1,275660000,35884428.57
2,1,42000000,25195571.43
2,1,7130000,19947125.71
2,1,26400000,13858857.14
2,1,21600000,20938142.86
2,1,10681000,14777428.57
2,1,23850000,39634142.86
2,1,61240000,72619428.57
2,1,17309824,21813571.43
2,1,48900000,53080285.71
2,1,48760000,41977857.14
2,1,10969068,19331542.86
2,1,55386541,37716285.71
2,1,20501336,43268142.86
2,1,97243371,61959000
2,1,22967142,17859914.29
2,1,29175000,34338428.57
2,1,22390000,49278142.86
2,1,42000000,52612857.14
2,1,20000000,103761428.6
2,1,25800000,12688428.57
2,1,43677000,28290571.43
2,1,33903435,10532000
2,1,161540000,82035714.29
2,1,17026046,19611142.86
2,1,23466230,19252714.29
2,1,31800000,28396000
2,1,3272000,25903285.71
2,1,9667143,21410285.71
2,1,33155428,20083428.57
2,1,34316000,55226571.43
2,1,6520000,8023714.286
2,1,24600000,36877428.57
2,1,147625714,55433428.57
2,1,29300000,21097142.86
2,1,60000000,51391428.57
2,1,39572000,24345865.14
2,1,47300000,36430428.57
2,1,31040000,29720231.43
2,1,7638445,38596571.43
2,1,14817557,27772285.71
2,1,52142000,43112000
2,1,23931668,55200000
2,1,23713717,17191714.29
2,1,17082000,31832571.43
2,1,44680000,44587142.86
